,price_per_sqm_smoothed
1900-01-01,8039.204261080372
1900-02-01,8069.579563301563
1900-03-01,8101.970701860822
1900-04-01,8111.590010713799
1900-05-01,8091.658839582415
1900-06-01,8100.986001444691
1900-07-01,8048.913903855125
1900-08-01,8015.662202452694
1900-09-01,8021.3477766386895
1900-10-01,7998.499470617094
1900-11-01,7976.197444583893
1900-12-01,7957.147070941748
1901-01-01,7996.433422783018
1901-02-01,8026.808725004209
1901-03-01,8059.199863563468
1901-04-01,8068.819172416444
1901-05-01,8048.88800128506
1901-06-01,8058.215163147337
1901-07-01,8006.143065557771
1901-08-01,7972.89136415534
1901-09-01,7978.576938341335
1901-10-01,7955.7286323197395
1901-11-01,7933.426606286539
1901-12-01,7914.376232644394
1902-01-01,7953.6625844856635
1902-02-01,7984.037886706855
1902-03-01,8016.429025266114
1902-04-01,8026.04833411909
1902-05-01,8006.117162987706
1902-06-01,8015.444324849983
1902-07-01,7963.372227260416
1902-08-01,7930.120525857986
1902-09-01,7935.806100043981
1902-10-01,7912.957794022385
1902-11-01,7890.655767989185
1902-12-01,7871.60539434704
1903-01-01,7910.891746188309
1903-02-01,7941.267048409501
1903-03-01,7973.65818696876
1903-04-01,7983.277495821736
1903-05-01,7963.346324690352
1903-06-01,7972.673486552629
1903-07-01,7920.601388963062
1903-08-01,7887.3496875606315
1903-09-01,7893.035261746627
1903-10-01,7870.186955725031
1903-11-01,7847.884929691831
1903-12-01,7828.8345560496855
1904-01-01,7868.120907890955
1904-02-01,7898.496210112146
1904-03-01,7930.887348671406
1904-04-01,7940.506657524382
1904-05-01,7920.575486392998
1904-06-01,7929.9026482552745
1904-07-01,7877.830550665708
1904-08-01,7844.578849263277
1904-09-01,7850.264423449273
1904-10-01,7827.416117427677
1904-11-01,7805.114091394476
1904-12-01,7786.063717752331
1905-01-01,7825.350069593601
1905-02-01,7855.725371814791
1905-03-01,7888.116510374051
1905-04-01,7897.735819227028
1905-05-01,7877.804648095644
1905-06-01,7887.13180995792
1905-07-01,7835.059712368354
1905-08-01,7801.808010965923
1905-09-01,7807.4935851519185
1905-10-01,7784.645279130323
1905-11-01,7762.343253097122
1905-12-01,7743.292879454977
1906-01-01,7782.579231296247
1906-02-01,7812.954533517437
1906-03-01,7845.345672076697
1906-04-01,7854.964980929673
1906-05-01,7835.033809798289
1906-06-01,7844.360971660566
1906-07-01,7792.288874071
1906-08-01,7759.037172668569
1906-09-01,7764.722746854564
1906-10-01,7741.8744408329685
1906-11-01,7719.572414799768
1906-12-01,7700.522041157623
1907-01-01,7739.8083929988925
1907-02-01,7770.183695220083
1907-03-01,7802.574833779343
1907-04-01,7812.194142632319
1907-05-01,7792.262971500935
1907-06-01,7801.590133363212
1907-07-01,7749.518035773645
1907-08-01,7716.266334371215
1907-09-01,7721.95190855721
1907-10-01,7699.103602535614
1907-11-01,7676.801576502414
1907-12-01,7657.751202860269
1908-01-01,7697.037554701538
1908-02-01,7727.412856922729
1908-03-01,7759.803995481989
1908-04-01,7769.423304334965
1908-05-01,7749.492133203581
1908-06-01,7758.819295065858
1908-07-01,7706.747197476291
1908-08-01,7673.4954960738605
1908-09-01,7679.181070259856
1908-10-01,7656.33276423826
1908-11-01,7634.03073820506
1908-12-01,7614.9803645629145
1909-01-01,7654.266716404184
1909-02-01,7684.6420186253745
1909-03-01,7717.033157184635
1909-04-01,7726.652466037611
1909-05-01,7706.721294906227
1909-06-01,7716.0484567685035
1909-07-01,7663.976359178937
1909-08-01,7630.724657776506
1909-09-01,7636.410231962502
1909-10-01,7613.561925940906
1909-11-01,7591.259899907705
1909-12-01,7572.20952626556
1910-01-01,7611.49587810683
1910-02-01,7641.871180328021
1910-03-01,7674.26231888728
1910-04-01,7683.881627740257
1910-05-01,7663.950456608873
1910-06-01,7673.277618471149
1910-07-01,7621.205520881583
1910-08-01,7587.953819479152
1910-09-01,7593.6393936651475
1910-10-01,7570.791087643552
1910-11-01,7548.489061610351
1910-12-01,7529.438687968206
1911-01-01,7568.725039809476
1911-02-01,7599.100342030667
1911-03-01,7631.491480589926
1911-04-01,7641.110789442902
1911-05-01,7621.179618311518
1911-06-01,7630.506780173795
1911-07-01,7578.4346825842285
1911-08-01,7545.182981181798
1911-09-01,7550.868555367793
1911-10-01,7528.0202493461975
1911-11-01,7505.718223312997
1911-12-01,7486.667849670852
1912-01-01,7525.9542015121215
1912-02-01,7556.329503733313
1912-03-01,7588.720642292572
1912-04-01,7598.339951145548
1912-05-01,7578.408780014164
1912-06-01,7587.735941876441
1912-07-01,7535.663844286874
1912-08-01,7502.412142884444
1912-09-01,7508.097717070439
1912-10-01,7485.249411048843
1912-11-01,7462.947385015643
1912-12-01,7443.897011373498
1913-01-01,7483.183363214767
1913-02-01,7513.558665435959
1913-03-01,7545.949803995218
1913-04-01,7555.569112848194
1913-05-01,7535.63794171681
1913-06-01,7544.965103579087
1913-07-01,7492.89300598952
1913-08-01,7459.6413045870895
1913-09-01,7465.326878773085
1913-10-01,7442.478572751489
1913-11-01,7420.176546718289
1913-12-01,7401.1261730761435
1914-01-01,7440.412524917413
1914-02-01,7470.7878271386035
1914-03-01,7503.1789656978635
1914-04-01,7512.79827455084
1914-05-01,7492.867103419456
1914-06-01,7502.194265281732
1914-07-01,7450.122167692166
1914-08-01,7416.870466289735
1914-09-01,7422.556040475731
1914-10-01,7399.707734454135
1914-11-01,7377.405708420934
1914-12-01,7358.355334778789
1915-01-01,7397.641686620059
1915-02-01,7428.016988841249
1915-03-01,7460.408127400509
1915-04-01,7470.027436253486
1915-05-01,7450.096265122102
1915-06-01,7459.423426984378
1915-07-01,7407.351329394812
1915-08-01,7374.099627992381
1915-09-01,7379.7852021783765
1915-10-01,7356.936896156781
1915-11-01,7334.63487012358
1915-12-01,7315.584496481435
1916-01-01,7354.870848322705
1916-02-01,7385.246150543895
1916-03-01,7417.637289103155
1916-04-01,7427.256597956131
1916-05-01,7407.325426824747
1916-06-01,7416.652588687024
1916-07-01,7364.5804910974575
1916-08-01,7331.328789695027
1916-09-01,7337.014363881022
1916-10-01,7314.1660578594265
1916-11-01,7291.864031826226
1916-12-01,7272.813658184081
1917-01-01,7312.1000100253505
1917-02-01,7342.475312246541
1917-03-01,7374.866450805801
1917-04-01,7384.485759658777
1917-05-01,7364.554588527393
1917-06-01,7373.88175038967
1917-07-01,7321.809652800103
1917-08-01,7288.557951397673
1917-09-01,7294.243525583668
1917-10-01,7271.395219562072
1917-11-01,7249.093193528872
1917-12-01,7230.042819886727
1918-01-01,7269.329171727996
1918-02-01,7299.704473949187
1918-03-01,7332.095612508447
1918-04-01,7341.714921361423
1918-05-01,7321.783750230039
1918-06-01,7331.110912092316
1918-07-01,7279.038814502749
1918-08-01,7245.7871131003185
1918-09-01,7251.472687286314
1918-10-01,7228.624381264718
1918-11-01,7206.322355231518
1918-12-01,7187.271981589372
1919-01-01,7226.558333430642
1919-02-01,7256.933635651832
1919-03-01,7289.3247742110925
1919-04-01,7298.944083064069
1919-05-01,7279.012911932685
1919-06-01,7288.340073794961
1919-07-01,7236.267976205395
1919-08-01,7203.016274802964
1919-09-01,7208.70184898896
1919-10-01,7185.853542967364
1919-11-01,7163.551516934163
1919-12-01,7144.501143292018
1920-01-01,7183.787495133288
1920-02-01,7214.162797354478
1920-03-01,7246.553935913738
1920-04-01,7256.173244766715
1920-05-01,7236.242073635331
1920-06-01,7245.569235497607
1920-07-01,7193.497137908041
1920-08-01,7160.24543650561
1920-09-01,7165.9310106916055
1920-10-01,7143.08270467001
1920-11-01,7120.780678636809
1920-12-01,7101.730304994664
1921-01-01,7141.016656835934
1921-02-01,7171.391959057124
1921-03-01,7203.783097616384
1921-04-01,7213.40240646936
1921-05-01,7193.471235337976
1921-06-01,7202.798397200253
1921-07-01,7150.7262996106865
1921-08-01,7117.474598208256
1921-09-01,7123.160172394251
1921-10-01,7100.3118663726555
1921-11-01,7078.009840339455
1921-12-01,7058.95946669731
1922-01-01,7098.245818538579
1922-02-01,7128.62112075977
1922-03-01,7161.01225931903
1922-04-01,7170.631568172006
1922-05-01,7150.700397040622
1922-06-01,7160.027558902899
1922-07-01,7107.955461313332
1922-08-01,7074.703759910902
1922-09-01,7080.389334096897
1922-10-01,7057.541028075301
1922-11-01,7035.239002042101
1922-12-01,7016.188628399956
1923-01-01,7055.474980241225
1923-02-01,7085.850282462416
1923-03-01,7118.241421021676
1923-04-01,7127.860729874652
1923-05-01,7107.929558743268
1923-06-01,7117.256720605545
1923-07-01,7065.184623015978
1923-08-01,7031.9329216135475
1923-09-01,7037.618495799543
1923-10-01,7014.770189777947
1923-11-01,6992.468163744747
1923-12-01,6973.417790102601
1924-01-01,7012.704141943871
1924-02-01,7043.079444165061
1924-03-01,7075.4705827243215
1924-04-01,7085.089891577298
1924-05-01,7065.158720445914
1924-06-01,7074.48588230819
1924-07-01,7022.413784718624
1924-08-01,6989.162083316193
1924-09-01,6994.847657502189
1924-10-01,6971.999351480593
1924-11-01,6949.697325447392
1924-12-01,6930.646951805247
1925-01-01,6969.933303646517
1925-02-01,7000.308605867707
1925-03-01,7032.699744426967
1925-04-01,7042.319053279944
1925-05-01,7022.38788214856
1925-06-01,7031.715044010836
1925-07-01,6979.64294642127
1925-08-01,6946.391245018839
1925-09-01,6952.0768192048345
1925-10-01,6929.228513183239
1925-11-01,6906.926487150038
1925-12-01,6887.876113507893
1926-01-01,6927.162465349163
1926-02-01,6957.537767570353
1926-03-01,6989.928906129613
1926-04-01,6999.548214982589
1926-05-01,6979.617043851205
1926-06-01,6988.944205713482
1926-07-01,6936.8721081239155
1926-08-01,6903.620406721485
1926-09-01,6909.30598090748
1926-10-01,6886.457674885884
1926-11-01,6864.155648852684
1926-12-01,6845.105275210539
1927-01-01,6884.391627051808
1927-02-01,6914.766929272999
1927-03-01,6947.158067832259
1927-04-01,6956.777376685235
1927-05-01,6936.846205553851
1927-06-01,6946.173367416128
1927-07-01,6894.101269826561
1927-08-01,6860.849568424131
1927-09-01,6866.535142610126
1927-10-01,6843.68683658853
1927-11-01,6821.38481055533
1927-12-01,6802.334436913185
1928-01-01,6841.620788754454
1928-02-01,6871.996090975645
1928-03-01,6904.387229534905
1928-04-01,6914.006538387881
1928-05-01,6894.075367256498
1928-06-01,6903.402529118774
1928-07-01,6851.330431529207
1928-08-01,6818.0787301267765
1928-09-01,6823.764304312772
1928-10-01,6800.915998291176
1928-11-01,6778.613972257976
1928-12-01,6759.56359861583
1929-01-01,6798.8499504571
1929-02-01,6829.22525267829
1929-03-01,6861.6163912375505
1929-04-01,6871.235700090527
1929-05-01,6851.304528959144
1929-06-01,6860.6316908214185
1929-07-01,6808.559593231853
1929-08-01,6775.307891829422
1929-09-01,6780.993466015418
1929-10-01,6758.145159993822
1929-11-01,6735.843133960621
1929-12-01,6716.792760318476
1930-01-01,6756.079112159746
1930-02-01,6786.454414380936
1930-03-01,6818.845552940196
1930-04-01,6828.4648617931725
1930-05-01,6808.5336906617895
1930-06-01,6817.860852524064
1930-07-01,6765.788754934499
1930-08-01,6732.537053532068
1930-09-01,6738.222627718063
1930-10-01,6715.374321696468
1930-11-01,6693.072295663267
1930-12-01,6674.021922021122
1931-01-01,6713.308273862392
1931-02-01,6743.683576083582
1931-03-01,6776.074714642842
1931-04-01,6785.694023495818
1931-05-01,6765.762852364435
1931-06-01,6775.09001422671
1931-07-01,6723.0179166371445
1931-08-01,6689.766215234714
1931-09-01,6695.451789420709
1931-10-01,6672.603483399113
1931-11-01,6650.301457365913
1931-12-01,6631.251083723768
1932-01-01,6670.537435565037
1932-02-01,6700.912737786228
1932-03-01,6733.303876345488
1932-04-01,6742.923185198464
1932-05-01,6722.992014067081
1932-06-01,6732.319175929356
1932-07-01,6680.24707833979
1932-08-01,6646.99537693736
1932-09-01,6652.680951123355
1932-10-01,6629.832645101759
1932-11-01,6607.530619068559
1932-12-01,6588.480245426414
1933-01-01,6627.766597267683
1933-02-01,6658.141899488874
1933-03-01,6690.533038048134
1933-04-01,6700.15234690111
1933-05-01,6680.221175769727
1933-06-01,6689.548337632002
1933-07-01,6637.476240042436
1933-08-01,6604.224538640005
1933-09-01,6609.910112826001
1933-10-01,6587.061806804405
1933-11-01,6564.7597807712045
1933-12-01,6545.709407129059
1934-01-01,6584.995758970329
1934-02-01,6615.371061191519
1934-03-01,6647.7621997507795
1934-04-01,6657.381508603756
1934-05-01,6637.450337472373
1934-06-01,6646.7774993346475
1934-07-01,6594.705401745082
1934-08-01,6561.453700342651
1934-09-01,6567.139274528647
1934-10-01,6544.290968507051
1934-11-01,6521.98894247385
1934-12-01,6502.938568831705
1935-01-01,6542.224920672975
1935-02-01,6572.600222894165
1935-03-01,6604.991361453425
1935-04-01,6614.6106703064015
1935-05-01,6594.6794991750185
1935-06-01,6604.006661037293
1935-07-01,6551.934563447728
1935-08-01,6518.682862045297
1935-09-01,6524.368436231292
1935-10-01,6501.520130209697
1935-11-01,6479.218104176496
1935-12-01,6460.167730534351
1936-01-01,6499.454082375621
