,0
1900-01-01,-57016267899.49426
1900-02-01,-56902373816.733765
1900-03-01,-56788631509.40863
1900-04-01,-56675040876.32379
1900-05-01,-56561601816.28296
1900-06-01,-56448314228.09033
1900-07-01,-56335178010.55151
1900-08-01,-56222193062.470215
1900-09-01,-56109359282.65039
1900-10-01,-55996676569.89819
1900-11-01,-55884144823.01697
1900-12-01,-55771763940.811035
1901-01-01,-55659533822.08624
1901-02-01,-55547454365.64551
1901-03-01,-55435525470.29419
1901-04-01,-55323747034.83563
1901-05-01,-55212118958.076416
1901-06-01,-55100641138.818726
1901-07-01,-54989313475.86896
1901-08-01,-54878135868.030334
1901-09-01,-54767108214.10773
1901-10-01,-54656230412.90637
1901-11-01,-54545502363.22986
1901-12-01,-54434923963.882935
1902-01-01,-54324495113.669556
1902-02-01,-54214215711.39508
1902-03-01,-54104085655.86316
1902-04-01,-53994104845.87958
1902-05-01,-53884273180.24744
1902-06-01,-53774590557.772095
1902-07-01,-53665056877.25787
1902-08-01,-53555672037.50934
1902-09-01,-53446435937.329956
1902-10-01,-53337348475.52521
1902-11-01,-53228409550.8999
1902-12-01,-53119619062.25726
1903-01-01,-53010976908.4035
1903-02-01,-52902482988.14099
1903-03-01,-52794137200.27643
1903-04-01,-52685939443.61279
1903-05-01,-52577889616.95563
1903-06-01,-52469987619.108215
1903-07-01,-52362233348.87573
1903-08-01,-52254626705.062805
1903-09-01,-52147167586.47339
1903-10-01,-52039855891.91315
1903-11-01,-51932691520.18475
1903-12-01,-51825674370.09412
1904-01-01,-51718804340.445435
1904-02-01,-51612081330.04315
1904-03-01,-51505505237.69092
1904-04-01,-51399075962.1944
1904-05-01,-51292793402.35828
1904-06-01,-51186657456.98505
1904-07-01,-51080668024.88147
1904-08-01,-50974825004.85089
1904-09-01,-50869128295.69812
1904-10-01,-50763577796.227905
1904-11-01,-50658173405.24414
1904-12-01,-50552915021.55127
1905-01-01,-50447802543.95465
1905-02-01,-50342835871.2583
1905-03-01,-50238014902.26514
1905-04-01,-50133339535.782715
1905-05-01,-50028809670.61334
1905-06-01,-49924425205.562195
1905-07-01,-49820186039.43359
1905-08-01,-49716092071.03229
1905-09-01,-49612143199.16266
1905-10-01,-49508339322.62897
1905-11-01,-49404680340.23578
1905-12-01,-49301166150.7876
1906-01-01,-49197796653.088806
1906-02-01,-49094571745.9444
1906-03-01,-48991491328.15845
1906-04-01,-48888555298.5354
1906-05-01,-48785763555.88049
1906-06-01,-48683115998.99689
1906-07-01,-48580612526.69049
1906-08-01,-48478253037.764465
1906-09-01,-48376037431.023926
1906-10-01,-48273965605.27368
1906-11-01,-48172037459.31763
1906-12-01,-48070252891.96063
1907-01-01,-47968611802.0069
1907-02-01,-47867114088.26178
1907-03-01,-47765759649.52832
1907-04-01,-47664548384.61194
1907-05-01,-47563480192.317444
1907-06-01,-47462554971.44812
1907-07-01,-47361772620.809814
1907-08-01,-47261133039.20581
1907-09-01,-47160636125.44116
1907-10-01,-47060281778.321106
1907-11-01,-46960069896.64911
1907-12-01,-46860000379.22974
1908-01-01,-46760073124.86749
1908-02-01,-46660288032.36731
1908-03-01,-46560645000.533264
1908-04-01,-46461143928.170166
1908-05-01,-46361784714.0824
1908-06-01,-46262567257.074036
1908-07-01,-46163491455.95038
1908-08-01,-46064557209.515564
1908-09-01,-45965764416.57355
1908-10-01,-45867112975.92938
1908-11-01,-45768602786.38788
1908-12-01,-45670233746.7522
1909-01-01,-45572005755.82843
1909-02-01,-45473918712.420044
1909-03-01,-45375972515.33197
1909-04-01,-45278167063.36865
1909-05-01,-45180502255.33447
1909-06-01,-45082977990.033875
1909-07-01,-44985594166.27112
1909-08-01,-44888350682.8515
1909-09-01,-44791247438.57825
1909-10-01,-44694284332.25751
1909-11-01,-44597461262.69226
1909-12-01,-44500778128.68738
1910-01-01,-44404234829.04834
1910-02-01,-44307831262.57849
1910-03-01,-44211567328.082825
1910-04-01,-44115442924.365295
1910-05-01,-44019457950.23102
1910-06-01,-43923612304.484375
1910-07-01,-43827905885.92963
1910-08-01,-43732338593.37195
1910-09-01,-43636910325.61444
1910-10-01,-43541620981.46283
1910-11-01,-43446470459.72131
1910-12-01,-43351458659.19403
1911-01-01,-43256585478.68567
1911-02-01,-43161850817.000854
1911-03-01,-43067254572.9436
1911-04-01,-42972796645.319275
1911-05-01,-42878476932.93182
1911-06-01,-42784295334.58539
1911-07-01,-42690251749.085205
1911-08-01,-42596346075.23517
1911-09-01,-42502578211.84015
1911-10-01,-42408948057.70441
1911-11-01,-42315455511.63281
1911-12-01,-42222100472.42908
1912-01-01,-42128882838.89838
1912-02-01,-42035802509.84534
1912-03-01,-41942859384.07318
1912-04-01,-41850053360.388306
1912-05-01,-41757384337.59418
1912-06-01,-41664852214.49469
1912-07-01,-41572456889.89526
1912-08-01,-41480198262.600586
1912-09-01,-41388076231.41382
1912-10-01,-41296090695.14087
1912-11-01,-41204241552.58545
1912-12-01,-41112528702.552
1913-01-01,-41020952043.84595
1913-02-01,-40929511475.27063
1913-03-01,-40838206895.6308
1913-04-01,-40747038203.73126
1913-05-01,-40656005298.37665
1913-06-01,-40565108078.371155
1913-07-01,-40474346442.519226
1913-08-01,-40383720289.62537
1913-09-01,-40293229518.49408
