date,price_per_sqm
2012-07-01,731.0
2012-08-01,727.0
2012-09-01,727.0
2012-10-01,738.0
2012-11-01,725.0
2012-12-01,709.0
2013-01-01,703.0
2013-02-01,712.0
2013-03-01,711.0
2013-04-01,738.0
2013-05-01,734.0
2013-06-01,729.0
2013-07-01,718.0
2013-08-01,722.0
2013-09-01,725.0
2013-10-01,720.0
2013-11-01,712.0
2013-12-01,710.0
2014-01-01,712.0
2014-02-01,712.0
2014-03-01,714.0
2014-04-01,714.0
2014-05-01,714.0
2014-06-01,725.0
2014-07-01,718.0
2014-08-01,722.0
2014-09-01,725.0
2014-10-01,720.0
2014-11-01,720.0
2014-12-01,723.0
2015-01-01,730.0
2015-02-01,732.0
2015-03-01,727.0
2015-04-01,729.0
2015-05-01,726.0
2015-06-01,736.0
2015-07-01,742.0
2015-08-01,743.0
2015-09-01,756.0
2015-10-01,758.0
2015-11-01,765.0
2015-12-01,777.0
2016-01-01,779.0
2016-02-01,781.0
2016-03-01,800.0
2016-04-01,831.0
2016-05-01,825.0
2016-06-01,843.0
2016-07-01,846.0
2016-08-01,840.0
2016-09-01,854.0
2016-10-01,846.0
2016-11-01,846.0
2016-12-01,857.0
2017-01-01,888.0
2017-02-01,903.0
2017-03-01,926.0
2017-04-01,940.0
2017-05-01,965.0
2017-06-01,991.0
2017-07-01,1000.0
2017-08-01,1017.0
2017-09-01,1020.0
2017-10-01,1028.0
2017-11-01,1034.0
2017-12-01,1037.0
2018-01-01,1039.0
2018-02-01,1060.0
2018-03-01,1071.0
2018-04-01,1078.0
2018-05-01,1089.0
2018-06-01,1095.0
2018-07-01,1093.0
2018-08-01,1095.0
2018-09-01,1116.0
2018-10-01,1119.0
2018-11-01,1119.0
2018-12-01,1113.0
2019-01-01,1100.0
2019-02-01,1100.0
2019-03-01,1100.0
2019-04-01,1098.0
2019-05-01,1094.0
2019-06-01,1078.0
2019-07-01,1081.0
2019-08-01,1089.0
2019-09-01,1096.0
2019-10-01,1099.0
2019-11-01,1114.0
2019-12-01,1120.0
2020-01-01,1119.0
2020-02-01,1140.0
2020-03-01,1168.0
2020-04-01,1182.0
2020-05-01,1171.0
2020-06-01,1166.0
2020-07-01,1169.0
2020-08-01,1189.0
2020-09-01,1196.0
2020-10-01,1203.0
2020-11-01,1211.0
2020-12-01,1210.0
2021-01-01,1216.0
2021-02-01,1222.0
2021-03-01,1240.0
2021-04-01,1266.0
2021-05-01,1286.0
2021-06-01,1306.0
2021-07-01,1325.0
2021-08-01,1328.0
2021-09-01,1323.0
2021-10-01,1338.0
2021-11-01,1365.0
2021-12-01,1385.0
2022-01-01,1392.0
2022-02-01,1419.0
2022-03-01,1452.0
2022-04-01,1461.0
2022-05-01,1473.0
2022-06-01,1493.0
2022-07-01,1491.0
2022-08-01,1464.0
2022-09-01,1451.0
2022-10-01,1456.0
2022-11-01,1448.0
2022-12-01,1453.0
2023-01-01,1444.0
2023-02-01,1465.0
2023-03-01,1484.0
2023-04-01,1480.0
2023-05-01,1500.0
2023-06-01,1496.0
2023-07-01,1460.0
2023-08-01,1462.0
2023-09-01,1491.0
2023-10-01,1513.0
2023-11-01,1517.0
2023-12-01,1515.0
2024-01-01,1562.0
2024-02-01,1592.0
2024-03-01,1614.0
2024-04-01,1628.0
2024-05-01,1638.0
2024-06-01,1654.0
2024-07-01,1675.0
2024-08-01,1687.0
2024-09-01,1733.0
2024-10-01,1749.0
2024-11-01,1776.0
2024-12-01,1819.0
2025-01-01,1838.0
2025-02-01,1895.0
2025-03-01,1944.0
2025-04-01,1969.0
2025-05-01,1979.0
2025-06-01,2043.0
2025-07-01,2034.0
2025-08-01,2041.0
2025-09-01,2070.0
2025-10-01,2070.0
