date,price_per_sqm,year,eur_ron_rate,price_per_sqm_lei
2012-07-01,731.0,2012,4.4577,3258.58
2012-08-01,727.0,2012,4.4577,3240.75
2012-09-01,727.0,2012,4.4577,3240.75
2012-10-01,738.0,2012,4.4577,3289.78
2012-11-01,725.0,2012,4.4577,3231.83
2012-12-01,709.0,2012,4.4577,3160.51
2013-01-01,703.0,2013,4.4189,3106.49
2013-02-01,712.0,2013,4.4189,3146.26
2013-03-01,711.0,2013,4.4189,3141.84
2013-04-01,738.0,2013,4.4189,3261.15
2013-05-01,734.0,2013,4.4189,3243.47
2013-06-01,729.0,2013,4.4189,3221.38
2013-07-01,718.0,2013,4.4189,3172.77
2013-08-01,722.0,2013,4.4189,3190.45
2013-09-01,725.0,2013,4.4189,3203.7
2013-10-01,720.0,2013,4.4189,3181.61
2013-11-01,712.0,2013,4.4189,3146.26
2013-12-01,710.0,2013,4.4189,3137.42
2014-01-01,712.0,2014,4.4441,3164.2
2014-02-01,712.0,2014,4.4441,3164.2
2014-03-01,714.0,2014,4.4441,3173.09
2014-04-01,714.0,2014,4.4441,3173.09
2014-05-01,714.0,2014,4.4441,3173.09
2014-06-01,725.0,2014,4.4441,3221.97
2014-07-01,718.0,2014,4.4441,3190.86
2014-08-01,722.0,2014,4.4441,3208.64
2014-09-01,725.0,2014,4.4441,3221.97
2014-10-01,720.0,2014,4.4441,3199.75
2014-11-01,720.0,2014,4.4441,3199.75
2014-12-01,723.0,2014,4.4441,3213.08
2015-01-01,730.0,2015,4.4457,3245.36
2015-02-01,732.0,2015,4.4457,3254.25
2015-03-01,727.0,2015,4.4457,3232.02
2015-04-01,729.0,2015,4.4457,3240.92
2015-05-01,726.0,2015,4.4457,3227.58
2015-06-01,736.0,2015,4.4457,3272.04
2015-07-01,742.0,2015,4.4457,3298.71
2015-08-01,743.0,2015,4.4457,3303.16
2015-09-01,756.0,2015,4.4457,3360.95
2015-10-01,758.0,2015,4.4457,3369.84
2015-11-01,765.0,2015,4.4457,3400.96
2015-12-01,777.0,2015,4.4457,3454.31
2016-01-01,779.0,2016,4.4899,3497.63
2016-02-01,781.0,2016,4.4899,3506.61
2016-03-01,800.0,2016,4.4899,3591.92
2016-04-01,831.0,2016,4.4899,3731.11
2016-05-01,825.0,2016,4.4899,3704.17
2016-06-01,843.0,2016,4.4899,3784.99
2016-07-01,846.0,2016,4.4899,3798.46
2016-08-01,840.0,2016,4.4899,3771.52
2016-09-01,854.0,2016,4.4899,3834.37
2016-10-01,846.0,2016,4.4899,3798.46
2016-11-01,846.0,2016,4.4899,3798.46
2016-12-01,857.0,2016,4.4899,3847.84
2017-01-01,888.0,2017,4.5697,4057.89
2017-02-01,903.0,2017,4.5697,4126.44
2017-03-01,926.0,2017,4.5697,4231.54
2017-04-01,940.0,2017,4.5697,4295.52
2017-05-01,965.0,2017,4.5697,4409.76
2017-06-01,991.0,2017,4.5697,4528.57
2017-07-01,1000.0,2017,4.5697,4569.7
