iter	MAE
0	1117.985322
1	1066.763128
2	1017.82909
3	977.5502519
4	932.318917
5	892.3940716
6	850.4607485
7	817.7892376
8	776.4338341
9	736.2813023
10	703.276046
11	667.3470611
12	635.6544939
13	607.4723119
14	578.0562094
15	549.6510509
16	527.448806
17	503.0404785
18	478.2447024
19	456.151757
20	435.716277
21	415.1165556
22	397.0926566
23	383.571306
24	368.4314269
25	351.1634181
26	340.7199025
27	325.7086996
28	311.8749871
29	297.5878891
30	283.8424077
31	271.9629632
32	260.1865014
33	247.2774032
34	239.7882427
35	229.9057551
36	217.7402526
37	208.4728398
38	200.6019
39	196.9572285
40	188.6754813
41	182.4344132
42	177.2020851
43	173.6815988
44	167.3758376
45	161.3656403
46	154.6337401
47	149.0669901
48	142.4654681
49	135.769598
50	129.7416209
51	124.0307826
52	121.593535
53	119.0138189
54	114.9204225
55	112.7442094
56	108.7426249
57	104.1197182
58	98.68955586
59	95.29840523
60	91.52982197
61	86.8289784
62	83.42037972
63	79.99801051
64	77.44348282
65	75.7839962
66	72.2252569
67	68.84445454
68	66.51214554
69	63.28571825
70	60.57761459
71	58.62691789
72	56.23190129
73	54.47135939
74	52.2591692
75	50.16698069
76	47.7566911
77	45.8023934
78	44.00995367
79	42.73110612
80	40.76116405
81	39.17168271
82	37.66167545
83	36.32314388
84	34.98015643
85	33.51037101
86	32.33446188
87	31.22725161
88	30.17540183
89	29.15744334
90	27.80419726
91	26.89009496
92	25.97647979
93	24.99428277
94	24.24700023
95	23.51090143
96	22.40316906
97	21.80703783
98	21.13866462
99	20.71143379
100	20.34569971
101	19.65267009
102	19.30139624
103	18.76862072
104	18.41202697
105	17.49142555
106	16.99485193
107	16.34653445
108	16.05062375
109	15.65684942
110	15.10086912
111	14.87392615
112	14.67111657
113	14.15488839
114	13.66498873
115	13.51803073
116	13.26653366
117	13.12439382
118	12.86045442
119	12.80254697
120	12.57156748
121	12.47349859
122	12.10315803
123	11.50435462
124	10.92913684
125	10.8510978
126	10.76735424
127	10.68703427
128	10.52572839
129	10.4594109
130	10.39624146
131	10.34259367
132	10.2998313
133	10.25467222
134	10.20229362
135	10.06061069
136	9.557580124
137	9.07970106
138	8.82881696
139	8.590477049
140	8.160953135
141	7.752905418
142	7.585316676
143	7.206050787
144	6.845748201
145	6.50346074
146	6.177652855
147	5.868944039
148	5.623408977
149	5.342238486
150	5.075283434
151	4.82167613
152	4.580749204
153	4.354192531
154	4.173556388
155	3.965020144
156	3.766910712
157	3.578706754
158	3.401792037
159	3.231836937
160	3.098931837
161	2.972671992
162	2.852725141
163	2.711734688
164	2.576257494
165	2.449008128
166	2.326661782
167	2.233694216
168	2.122683984
169	2.036748747
170	1.955110271
171	1.877553712
172	1.805004998
173	1.735010205
174	1.670509911
175	1.66827346
176	1.665633236
177	1.663640618
178	1.661747632
179	1.659313055
180	1.65621334
181	1.653269585
182	1.651791521
183	1.649089701
184	1.646522971
185	1.644692852
186	1.643549557
187	1.642463426
188	1.641036753
189	1.640076262
190	1.638788691
191	1.637565498
192	1.63677857
193	1.634899995
194	1.633851261
195	1.632854964
196	1.631908481
197	1.631365157
198	1.630848999
199	1.630358649
200	1.629587735
201	1.628117137
202	1.627421388
203	1.627230831
204	1.604949757
205	1.546349621
206	1.54533147
207	1.54502635
208	1.48938651
209	1.436528666
210	1.436272103
211	1.434683619
212	1.434451651
213	1.432953604
214	1.432743854
215	1.432544591
216	1.432189601
217	1.432009406
218	1.431233036
219	1.431070068
220	1.430915249
221	1.429613574
222	1.429473541
223	1.408601377
224	1.407928311
225	1.407807679
226	1.407693079
227	1.407584208
228	1.387778395
229	1.387160345
230	1.368349566
231	1.350479326
232	1.349403929
233	1.348382302
234	1.348304942
235	1.34823145
236	1.347716532
237	1.297689223
238	1.297625803
239	1.250102838
240	1.249196136
241	1.249141373
242	1.232267059
243	1.232217434
244	1.231363237
245	1.231318258
246	1.230893698
247	1.230852923
248	1.214853047
249	1.199653164
250	1.199617866
251	1.154494214
252	1.153733609
253	1.153703041
254	1.139287431
255	1.139259688
256	1.138540989
257	1.137858224
258	1.137523196
259	1.136907
260	1.136884983
261	1.136583573
262	1.136028348
263	1.136009197
264	1.135991004
265	1.122368425
266	1.122351879
267	1.07949999
268	1.079482671
269	1.078959496
270	1.078945802
271	1.078932793
272	1.078679609
273	1.078208485
274	1.065296124
275	1.024590797
276	1.024363212
277	1.012097345
278	1.01208772
279	1.011664171
280	1.011655386
281	1.000014314
282	1.000006293
283	0.9889475878
284	0.9502803799
285	0.9135465336
286	0.9131459653
287	0.9026508876
288	0.9026445989
289	0.9022645249
290	0.9022587653
291	0.9022517447
292	0.8922916658
293	0.8828295908
294	0.8828247528
295	0.8479295534
296	0.8479251175
297	0.8477437481
298	0.8145936045
299	0.8145883373
300	0.8144163005
301	0.8144126857
302	0.8140882881
303	0.814083758
304	0.8139205152
305	0.8137655673
306	0.7822738419
307	0.7821267317
308	0.781986977
309	0.752070014
310	0.7144665019
311	0.7143393542
312	0.7142185638
313	0.7141038129
314	0.7139947995
315	0.7138912369
316	0.7137928523
317	0.6781031992
318	0.6780144044
319	0.6779300494
320	0.6440335357
321	0.6118318494
322	0.5812402472
323	0.5741687847
324	0.5454603344
325	0.5181873081
326	0.5181283862
327	0.5180724104
328	0.4921687791
329	0.4921182582
330	0.4920702634
331	0.4674667398
332	0.4440933928
333	0.4218887138
334	0.4218496139
335	0.421812469
336	0.4217771821
337	0.4217104254
338	0.4006248937
339	0.380593639
340	0.3615639479
341	0.3615364011
342	0.3434595717
343	0.3262865839
344	0.3099722452
345	0.2944736231
346	0.2797499322
347	0.2657624264
348	0.2657431751
349	0.2524560063
350	0.2398331961
351	0.2398166926
352	0.2278258487
353	0.2164345471
354	0.2056128105
355	0.1953321607
356	0.1855655436
357	0.1762872572
358	0.1674728847
359	0.1590992313
360	0.1511442604
361	0.1435870382
362	0.1364076771
363	0.1295872841
364	0.1231079105
365	0.1169525057
366	0.1111048713
367	0.1055496186
368	0.1002721288
369	0.09525851331
370	0.09049557861
371	0.08597079045
372	0.08167224185
373	0.07758862082
374	0.07370918073
375	0.0700237127
376	0.06652251802
377	0.06319638311
378	0.06003655485
379	0.05703471807
380	0.05418297308
381	0.05147381541
382	0.04890011562
383	0.04645510083
384	0.04413233673
385	0.04192571084
386	0.03982941629
387	0.03783793634
388	0.03594603051
389	0.03414871995
390	0.03244127491
391	0.03081920206
392	0.02927823284
393	0.02781431205
394	0.02642358732
395	0.02510239886
396	0.02384726978
397	0.02265489716
398	0.02152214315
399	0.02044602683
400	0.01942371634
401	0.0184525214
402	0.01752988624
403	0.01665338284
404	0.01582070455
405	0.01502966174
406	0.01427817863
407	0.01356426968
408	0.01288605617
409	0.01224175335
410	0.01162966566
411	0.01104818238
412	0.01049577325
413	0.009970984578
414	0.009472435325
415	0.00899881356
416	0.008548872879
417	0.008121429228
418	0.007715357774
419	0.007329589863
420	0.006963110362
421	0.006614954834
422	0.006284207075
423	0.005969996712
424	0.005671496872
425	0.005387922017
426	0.005118525916
427	0.004862599613
428	0.004619469624
429	0.004388496129
430	0.004169071314
431	0.003960617745
432	0.003762586855
433	0.003574457499
434	0.00339573462
435	0.003225947889
436	0.00306465049
437	0.002911417966
438	0.002765847063
439	0.002627554707
440	0.002496176969
441	0.002371368115
442	0.002252799706
443	0.002140159715
444	0.002033151731
445	0.001931494139
446	0.001834919433
447	0.00174317346
448	0.001656014785
449	0.001573214044
450	0.001494553342
451	0.001419825675
452	0.00134883439
453	0.001281392672
454	0.001217323037
455	0.001156456885
456	0.001098634042
457	0.001043702338
458	0.0009915172212
459	0.000941941362
460	0.0008948442937
461	0.0008501020775
462	0.0008075969712
463	0.000767217121
464	0.0007288562639
465	0.0006924134483
466	0.0006577927751
467	0.0006249031353
468	0.0005936579777
469	0.0005639750785
470	0.0005357763239
471	0.0005089875064
472	0.0004835381302
473	0.0004593612229
474	0.0004363931619
475	0.0004145735041
476	0.0003938448284
477	0.000374152587
478	0.000355444957
479	0.0003376727084
480	0.0003207890734
481	0.0003047496194
482	0.0002895121379
483	0.0002750365308
484	0.0002612847038
485	0.000248220469
486	0.0002358094456
487	0.0002240189728
488	0.000212818024
489	0.0002021771224
490	0.0001920682664
491	0.000182464853
492	0.0001733416104
493	0.0001646745299
494	0.0001564408034
495	0.0001486187635
496	0.0001411878254
497	0.0001341284343
498	0.0001274220126
499	0.0001210509122
500	0.0001149983666
501	0.0001092484484
502	0.000103786026
503	9.859672478e-05
504	9.36668887e-05
505	8.89835442e-05
506	8.453436686e-05
507	8.030764836e-05
508	7.629226596e-05
509	7.247765257e-05
510	6.885376978e-05
511	6.541108119e-05
512	6.214052695e-05
513	5.903350057e-05
514	5.608182547e-05
515	5.327773404e-05
516	5.061384733e-05
517	4.808315497e-05
518	4.567899721e-05
519	4.339504737e-05
520	4.1225295e-05
521	3.916403031e-05
522	3.720582889e-05
523	3.534553747e-05
524	3.357826057e-05
525	3.189934762e-05
526	3.030438019e-05
527	2.878916115e-05
528	2.734970302e-05
529	2.598221779e-05
530	2.468310676e-05
531	2.344895139e-05
532	2.227650379e-05
533	2.116267858e-05
534	2.010454466e-05
535	1.909931737e-05
536	1.814435145e-05
537	1.723713392e-05
538	1.637527718e-05
539	1.55565133e-05
540	1.477868763e-05
541	1.403975312e-05
542	1.333776546e-05
543	1.267087719e-05
544	1.203733331e-05
545	1.143546655e-05
546	1.086369324e-05
547	1.03205086e-05
548	9.804483179e-06
549	9.314258962e-06
550	8.84854604e-06
551	8.406118746e-06
552	7.985812843e-06
553	7.586522138e-06
554	7.207196083e-06
555	6.846836299e-06
556	6.504494473e-06
557	6.179455649e-06
558	5.870482936e-06
559	5.776797975e-06
560	5.62789821e-06
561	5.346503278e-06
562	5.079178146e-06
563	4.951873527e-06
564	4.704279883e-06
565	4.469065867e-06
566	4.24561261e-06
567	4.033331999e-06
568	3.831665439e-06
569	3.640082199e-06
570	3.458078088e-06
571	3.368136834e-06
572	3.19973e-06
573	3.039743515e-06
574	2.960857417e-06
575	2.812814583e-06
576	2.672173877e-06
577	2.53856522e-06
578	2.411636966e-06
579	2.34722374e-06
580	2.286031283e-06
581	2.171729709e-06
582	2.063143235e-06
583	1.959986114e-06
584	1.861986819e-06
585	1.768887469e-06
586	1.680443078e-06
587	1.596420898e-06
588	1.550339778e-06
589	1.472822718e-06
590	1.399181593e-06
591	1.357900125e-06
592	1.318682713e-06
593	1.252748564e-06
594	1.190111085e-06
595	1.130605576e-06
596	1.096069581e-06
597	1.041266076e-06
598	1.009188198e-06
599	9.587287707e-07
600	9.107923642e-07
601	8.652527243e-07
602	8.219900457e-07
603	7.808905589e-07
604	7.41846034e-07
605	7.047536982e-07
606	6.695159874e-07
607	6.431793359e-07
608	6.110203474e-07
609	5.863424489e-07
610	5.570253833e-07
611	5.33844513e-07
612	5.071523318e-07
613	4.8179471e-07
614	4.577050065e-07
615	4.348198048e-07
616	4.130787473e-07
617	3.924247841e-07
618	3.728035934e-07
619	3.541634168e-07
620	3.364552243e-07
621	3.196324661e-07
622	2.991514723e-07
623	2.841939224e-07
624	2.699842252e-07
625	2.564850088e-07
626	2.436608028e-07
627	2.244403685e-07
628	2.132183615e-07
629	2.025574299e-07
630	1.92731053e-07
631	1.830944606e-07
632	1.73939735e-07
633	1.681987871e-07
634	1.577166126e-07
635	1.498307148e-07
636	1.42339207e-07
637	1.316254113e-07
638	1.250441422e-07
639	1.187919449e-07
640	1.128523658e-07
641	1.07209778e-07
642	1.018492989e-07
643	9.675687267e-08
644	9.191902231e-08
645	8.732309753e-08
646	8.29569442e-08
647	7.880906959e-08
648	7.486864245e-08
649	7.112524494e-08
650	6.756895529e-08
