iter	Passed	Remaining
0	136	122389
1	136	61221
2	136	40825
3	136	30625
4	136	24499
5	137	20422
6	137	17510
7	137	15326
8	137	13625
9	137	12268
10	138	11160
11	138	10234
12	138	9448
13	138	8776
14	138	8196
15	139	7682
16	139	7228
17	139	6829
18	139	6470
19	139	6147
20	139	5853
21	140	5589
22	140	5348
23	140	5123
24	140	4920
25	140	4733
26	140	4556
27	141	4394
28	141	4243
29	141	4102
30	141	3971
31	141	3846
32	141	3729
33	142	3620
34	142	3515
35	142	3418
36	142	3326
37	142	3240
38	143	3157
39	143	3077
40	143	3002
41	143	2931
42	143	2864
43	143	2799
44	144	2737
45	144	2678
46	144	2622
47	144	2568
48	144	2516
49	145	2466
50	145	2418
51	145	2375
52	145	2330
53	145	2286
54	146	2246
55	146	2206
56	146	2168
57	146	2133
58	147	2096
59	147	2062
60	147	2029
61	147	1997
62	147	1965
63	148	1936
64	148	1908
65	148	1878
66	148	1850
67	148	1823
68	149	1797
69	149	1772
70	149	1748
71	150	1725
72	150	1703
73	150	1680
74	150	1658
75	150	1636
76	151	1615
77	151	1595
78	151	1576
79	151	1556
80	152	1538
81	152	1519
82	152	1502
83	152	1485
84	153	1468
85	153	1451
86	153	1435
87	153	1419
88	154	1403
89	154	1388
90	154	1373
91	154	1358
92	154	1344
93	155	1329
94	155	1316
95	155	1303
96	155	1290
97	156	1277
98	156	1264
99	156	1251
100	156	1239
101	156	1226
102	156	1214
103	157	1203
104	157	1191
105	157	1180
106	157	1168
107	157	1157
108	158	1147
109	158	1136
110	158	1126
111	158	1115
112	158	1105
113	158	1095
114	159	1085
115	159	1076
116	159	1066
117	159	1057
118	159	1048
119	159	1039
120	160	1030
121	160	1022
122	160	1013
123	160	1005
124	160	997
125	160	988
126	161	980
127	161	972
128	161	965
129	161	957
130	161	950
131	162	943
132	162	935
133	162	928
134	162	921
135	162	914
136	162	907
137	163	900
138	163	894
139	163	887
140	163	881
141	163	874
142	164	868
143	164	862
144	164	856
145	164	850
146	164	844
147	165	838
148	165	833
149	165	827
150	165	822
151	166	817
152	166	812
153	166	807
154	166	802
155	167	796
156	167	791
157	167	786
158	167	782
159	168	777
160	168	772
161	168	767
162	168	763
163	169	758
164	169	754
165	169	749
166	169	745
167	170	740
168	170	736
169	170	731
170	170	727
171	170	722
172	171	718
173	171	714
174	171	710
175	171	706
176	171	701
177	172	697
178	172	693
179	172	689
180	172	686
181	172	682
182	173	678
183	173	674
184	173	670
185	173	667
186	174	663
187	174	660
188	174	656
189	174	652
190	174	648
191	174	644
192	175	641
193	175	637
194	175	634
195	175	630
196	175	627
197	175	623
198	176	620
199	176	617
200	176	613
201	176	610
202	176	607
203	177	603
204	177	600
205	177	597
206	177	594
207	177	591
208	177	588
209	178	585
210	178	582
211	178	579
212	178	576
213	178	573
214	179	570
215	179	567
216	179	564
217	179	561
218	179	558
219	179	556
220	180	553
221	180	550
222	180	547
223	180	545
224	180	542
225	181	539
226	181	537
227	181	534
228	181	532
229	181	529
230	182	527
231	182	524
232	182	522
233	182	519
234	182	517
235	182	514
236	183	512
237	183	510
238	183	507
239	183	505
240	183	502
241	184	500
242	184	498
243	184	495
244	184	493
245	184	491
246	185	489
247	185	486
248	185	484
249	185	482
250	185	480
251	186	478
252	186	476
253	186	474
254	186	472
255	186	470
256	187	468
257	187	465
258	187	463
259	187	461
260	187	459
