iter	MAE
0	317.7945046
1	303.1225752
2	293.5585663
3	284.9967049
4	277.486588
5	268.733875
6	261.1921121
7	252.8705833
8	247.5788526
9	243.680587
10	239.0383054
11	235.2946593
12	230.2321161
13	225.69746
14	220.6388023
15	216.6062803
16	212.1389833
17	204.8917994
18	201.9193907
19	196.5129822
20	195.1061624
21	194.0393214
22	192.1856672
23	187.3269855
24	183.1589276
25	177.8452603
26	173.8064281
27	173.103419
28	170.3825543
29	167.3302399
30	163.4770339
31	161.3804907
32	158.0617596
33	155.67253
34	151.994921
35	149.3749552
36	146.5850156
37	143.5964178
38	143.0866618
39	142.7957817
40	139.2540848
41	138.2604191
42	136.7567348
43	133.33224
44	132.1898806
45	131.5332219
46	129.7367308
47	128.0794994
48	127.6918176
49	126.8262825
50	125.4447198
51	122.3277791
52	121.1058279
53	118.7124154
54	116.0560343
55	114.1422128
56	110.7836703
57	108.2859092
58	105.811848
59	103.3087623
60	103.0387151
61	100.9893123
62	98.09100272
63	95.62807234
64	93.98639285
65	91.36465888
66	89.22095765
67	86.96827002
68	86.74258941
69	84.25799886
70	82.27633919
71	81.06883573
72	80.45560231
73	78.08151723
74	76.18585455
75	73.84608303
76	71.75879797
77	70.4981079
78	68.35336552
79	68.1108985
80	66.32839261
81	65.5520012
82	64.22673017
83	62.83360766
84	62.02957738
85	60.81351398
86	60.48931348
87	59.18159911
88	57.51073061
89	56.20444327
90	54.59107464
91	53.4380899
92	52.44954331
93	50.81498356
94	48.89260791
95	47.28515559
96	46.39230867
97	44.59123643
98	43.23150337
99	41.62183505
100	40.17055205
101	39.26615356
102	37.98530064
103	36.41698273
104	35.09207931
105	33.89849594
106	32.87847127
107	31.90944784
108	31.00314215
109	30.12901739
110	29.28504163
111	28.23957938
112	27.05515018
113	26.34801203
114	25.67623078
115	24.92233724
116	24.12582667
117	23.35097713
118	22.70206222
119	22.32400357
120	21.91710007
121	21.61278059
122	21.3589098
123	21.11773256
124	20.85446939
125	20.42034918
126	20.0282842
127	19.5569383
128	19.15542992
129	18.7435609
130	18.38259852
131	18.03968425
132	17.71304658
133	17.28287683
134	16.95523942
135	16.67208042
136	16.37685511
137	16.12431797
138	15.90709229
139	15.78291687
140	15.66536071
141	15.56521116
142	15.34987554
143	15.15460803
144	15.04988113
145	14.95039058
146	14.85580191
147	14.76707103
148	14.62862408
149	14.54519514
150	14.46593764
151	14.39064302
152	14.31905396
153	14.22421645
154	14.15960144
155	14.09821718
156	14.03990214
157	13.95900546
158	13.90643026
159	13.85648383
160	13.80903471
161	13.76390733
162	13.72103631
163	13.68035957
164	13.64171667
165	13.60496013
166	13.57004143
167	13.53691443
168	13.5054003
169	13.47546187
170	13.44706385
171	13.42008574
172	13.39445653
173	13.3700715
174	13.34690572
175	13.32493551
176	13.27975333
177	13.25992498
178	13.24108806
179	13.22316101
180	13.20616229
181	13.1900135
182	13.17467214
183	13.16009786
184	13.14622626
185	13.13304824
186	13.12052912
187	13.08556258
188	13.07426288
189	13.06355419
190	13.05338093
191	13.02177201
192	12.99176702
193	12.98302153
194	12.97471331
195	12.9668205
196	12.95934464
197	12.95222138
198	12.92566896
199	12.91923942
200	12.91313136
201	12.88853189
202	12.88301865
203	12.87778872
204	12.45452
205	12.32909885
206	12.11491553
207	11.99709615
208	11.97671322
209	11.57761644
210	11.27360915
211	11.0796503
212	10.62610303
213	10.19523314
214	9.781889708
215	9.389507054
216	9.311822275
217	9.241118174
218	9.170796185
219	9.103990295
220	9.043028994
221	8.98554497
222	8.928299145
223	8.9222337
224	8.918160965
225	8.912686902
226	8.907649203
227	8.855139814
228	8.805255896
229	8.757866532
230	8.712829023
231	8.670044949
232	8.629411391
233	8.628145192
234	8.589599059
235	8.552980231
236	8.518192347
237	8.485143856
238	8.453747789
239	8.423921526
240	8.395586577
241	8.368668374
242	8.343096082
243	8.318802404
244	8.29572341
245	8.273798366
246	8.252969575
247	8.233182222
248	8.214384237
249	8.196526152
250	8.179560971
251	8.163444049
252	8.148146129
253	8.147578835
254	8.147039905
255	8.146527922
256	8.146041538
257	8.145794974
258	8.131355339
259	8.117656241
260	8.114576311
261	8.101630788
262	8.098758486
263	8.096940258
264	8.084779655
265	8.083362876
266	8.082016935
267	8.08080116
268	8.079589891
269	8.078439184
270	8.077346013
271	8.076318075
272	8.075318959
273	8.07518911
274	8.074208121
275	8.073323732
276	8.061704949
277	8.050711538
278	8.049842473
279	8.049080119
280	8.048289617
281	8.04757323
282	8.037113056
283	8.027181242
284	7.926164298
285	7.830751617
286	7.448527996
287	7.085415558
288	7.003111883
289	6.924913698
290	6.85062542
291	6.780080038
292	6.713061926
293	6.649374881
294	6.326216893
295	6.019216818
296	5.964628191
297	5.912769313
298	5.626440758
299	5.354428619
300	5.096017085
301	4.850526123
302	4.617309735
303	4.433612146
304	4.433362036
305	4.395245706
306	4.359039376
307	4.358815082
308	4.315134413
309	4.282467857
310	4.251434625
311	4.221953058
312	4.019696687
313	3.993086251
314	3.802272648
315	3.62099972
316	3.598195972
317	3.576520278
318	3.406534731
319	3.386981784
320	3.36840767
321	3.350760932
322	3.333990083
323	3.318055347
324	3.302925461
325	3.146618135
326	3.132963739
327	2.985154492
328	2.972823547
329	2.961109149
330	2.949987519
331	2.939415009
332	2.929377725
333	2.919842305
334	2.910778612
335	2.902166692
336	2.893986716
337	2.765844849
338	2.765799742
339	2.644067222
340	2.644015226
341	2.643975842
342	2.528333785
343	2.528298602
344	2.528261776
345	2.528229913
346	2.528195545
347	2.528166363
348	2.418314429
349	2.313955095
350	2.313926793
351	2.214786767
352	2.214764405
353	2.214733005
354	2.214712799
355	2.120533045
356	2.120514281
357	2.031044353
358	1.946041384
359	1.946024013
360	1.946008595
361	1.945992867
362	1.938259068
363	1.930913288
364	1.923934409
365	1.917304474
366	1.911006292
367	1.905021093
368	1.899335525
369	1.893935363
370	1.888805215
371	1.883931671
372	1.879301805
373	1.874903431
374	1.870724977
375	1.866755445
376	1.862984389
377	1.859401887
378	1.855998509
379	1.852765301
380	1.849693753
381	1.846775782
382	1.844003711
383	1.841370242
384	1.838868447
385	1.836491742
386	1.834233872
387	1.832088895
388	1.830051168
389	1.828115327
390	1.826276277
391	1.824529181
392	1.822869439
393	1.821292684
394	1.819794767
395	1.818371746
396	1.817019876
397	1.815735599
398	1.814515536
399	1.813356477
400	1.81225537
401	1.811209319
402	1.81021557
403	1.809271509
404	1.80837465
405	1.807522635
406	1.806713222
407	1.725214154
408	1.647789441
409	1.574235958
410	1.504360149
411	1.438597094
412	1.375503076
413	1.315563754
414	1.258619493
415	1.205057245
416	1.153640032
417	1.105299939
418	1.059374211
419	1.015744155
420	0.9742961862
421	0.9349206172
422	0.8975138157
423	0.8531451089
424	0.8109948361
425	0.7789231804
426	0.7484551053
427	0.7195098543
428	0.6920124162
429	0.6658892994
430	0.6331017568
431	0.6095261468
432	0.5790498312
433	0.5500973229
434	0.5225924498
435	0.4964628189
436	0.4716396697
437	0.4480576778
438	0.4312212953
439	0.4096602232
440	0.3891771935
441	0.3697183153
442	0.3512323807
443	0.3336707541
444	0.3169872085
445	0.30113784
446	0.2860809402
447	0.2717768858
448	0.2581880231
449	0.2452786149
450	0.2361809051
451	0.2243718409
452	0.2131532413
453	0.2024955719
454	0.1923707864
455	0.1827522395
456	0.1736146203
457	0.1649338698
458	0.1566876303
459	0.1488532415
460	0.1414105636
461	0.1363501489
462	0.1315427547
463	0.1269757304
464	0.1226370585
465	0.1207405208
466	0.1189388098
467	0.1172271845
468	0.1156011404
469	0.114056402
470	0.112588901
471	0.1111947712
472	0.1098703478
473	0.1086121456
474	0.1074168535
475	0.106281326
476	0.1052025749
477	0.1041777613
478	0.1032041884
479	0.1022792943
480	0.1014006447
481	0.1005659276
482	0.09977294637
483	0.09901961419
484	0.09830394862
485	0.09762406633
486	0.09697817817
487	0.09636458443
488	0.09578167037
489	0.09522790197
490	0.09470182203
491	0.09420204608
492	0.09372725891
493	0.09327621113
494	0.09284771573
495	0.09244064508
496	0.09205392797
497	0.0916865467
498	0.09133753452
499	0.09100597293
500	0.09069098942
501	0.0903917551
502	0.0901074825
503	0.08983742352
504	0.08958086995
505	0.08946524911
