iter	Passed	Remaining
0	0	1654
1	1	1123
2	1	941
3	1	841
4	1	767
5	2	716
6	2	684
7	2	662
8	2	638
9	3	599
10	3	588
11	3	560
12	3	544
13	3	544
14	4	556
15	4	548
16	4	550
17	4	545
18	5	540
19	5	534
20	5	527
21	5	534
22	6	527
23	6	528
24	6	525
25	6	523
26	7	520
27	7	515
28	7	513
29	7	511
30	7	503
31	8	499
32	8	498
33	8	493
34	8	492
35	8	489
36	9	488
37	9	488
38	9	483
39	9	477
40	9	477
41	10	472
42	10	473
43	10	473
44	10	471
45	11	467
46	11	462
47	11	460
48	11	457
49	11	456
50	11	455
51	12	454
52	12	453
53	12	451
54	12	451
55	13	451
56	13	451
57	13	448
58	13	447
59	13	446
60	13	442
61	14	442
62	14	441
63	14	440
64	14	441
65	15	440
66	15	440
67	15	440
68	15	437
69	15	437
70	16	437
71	16	436
72	16	436
73	16	436
74	16	434
75	17	434
76	17	434
77	17	433
78	17	433
79	17	431
80	18	430
81	18	430
82	18	429
83	18	429
84	19	428
85	19	427
86	19	425
87	19	425
88	19	425
89	20	425
90	20	424
91	20	425
92	20	425
93	20	425
94	21	425
95	21	425
96	21	424
97	21	424
98	22	423
99	22	423
100	22	423
101	22	421
102	22	421
103	23	421
104	23	420
105	23	421
106	23	422
107	24	422
108	24	422
109	24	422
110	24	422
111	25	422
112	25	422
113	25	422
114	25	422
115	25	421
116	26	422
117	26	422
118	26	422
119	26	422
120	27	422
121	27	421
122	27	421
123	27	420
124	28	420
125	28	420
126	28	419
127	28	419
128	28	419
129	29	419
130	29	418
131	29	418
132	29	418
133	30	417
134	30	417
135	30	417
136	30	416
137	30	416
138	31	415
139	31	415
140	31	415
141	31	415
142	32	416
143	32	417
144	32	417
145	32	417
146	33	417
147	33	416
148	33	416
149	33	416
150	34	416
151	34	416
152	34	416
153	34	415
154	34	415
155	35	415
156	35	414
157	35	414
158	35	413
159	35	413
160	36	413
161	36	412
162	36	412
163	36	412
164	37	411
165	37	411
166	37	411
167	37	411
168	37	411
169	38	410
170	38	410
171	38	410
172	38	410
173	39	409
174	39	409
175	39	409
176	39	409
177	39	409
178	40	408
179	40	408
180	40	407
181	40	407
182	41	407
183	41	407
184	41	406
185	41	406
186	42	407
187	42	407
188	42	407
189	42	408
190	43	408
191	43	408
192	43	408
193	43	408
194	44	407
195	44	408
196	44	407
197	44	407
198	45	407
199	45	407
200	45	406
201	45	406
202	45	406
203	46	406
204	46	406
205	46	406
206	46	405
207	47	405
208	47	404
209	47	405
210	47	404
211	48	406
212	48	407
213	48	407
214	49	407
215	49	406
216	49	406
217	49	405
218	49	404
219	49	404
220	50	403
221	50	402
222	50	402
223	50	402
224	50	401
225	51	401
226	51	401
227	51	400
228	51	399
229	51	399
230	52	398
231	52	398
232	52	397
233	52	396
234	52	396
235	52	396
236	53	395
237	53	395
238	53	394
239	53	394
240	53	393
241	54	393
242	54	392
243	54	392
244	54	391
245	54	390
246	54	390
247	55	389
248	55	389
249	55	388
250	55	388
251	55	387
252	56	387
253	56	386
254	56	386
255	56	386
256	57	387
257	57	387
258	57	387
259	57	386
260	57	386
261	58	385
262	58	386
263	58	385
264	58	385
265	59	385
266	59	386
267	59	386
268	59	385
269	60	385
270	60	385
271	60	385
272	60	385
273	61	385
274	61	385
275	61	385
276	61	385
277	62	384
278	62	384
279	62	384
280	62	384
281	63	384
282	63	384
283	63	384
284	63	383
285	64	383
286	64	383
287	64	383
288	64	383
289	64	383
290	65	382
291	65	382
292	65	383
293	66	383
294	66	382
295	66	382
296	66	383
297	67	383
298	67	382
299	67	382
300	67	382
301	68	384
302	68	384
303	68	384
304	69	384
305	69	384
306	69	384
307	69	384
308	70	384
309	70	383
310	70	384
311	71	384
312	71	384
313	71	384
314	71	384
315	72	384
316	72	384
317	72	384
318	72	384
319	73	384
320	73	384
321	73	383
322	73	383
323	74	383
324	74	383
325	74	383
326	74	382
327	75	382
328	75	382
329	75	382
330	75	382
331	76	382
332	76	382
333	76	381
334	76	381
335	77	381
336	77	381
337	77	381
338	77	380
339	77	380
340	78	380
341	78	380
342	78	380
343	78	379
344	79	379
345	79	379
346	79	379
347	79	378
348	80	378
349	80	378
350	80	378
351	80	377
352	80	377
353	81	377
354	81	377
355	81	376
356	81	376
357	82	376
358	82	376
359	82	376
360	82	375
361	83	375
362	83	375
363	83	375
364	83	375
365	83	374
366	84	374
367	84	374
368	84	374
369	84	374
370	85	374
371	85	374
372	85	374
373	86	374
374	86	374
375	86	374
376	87	375
377	87	375
378	87	375
379	87	374
380	88	374
381	88	374
382	88	374
383	88	373
384	89	373
385	89	373
386	89	373
387	89	372
388	89	372
389	90	372
390	90	372
391	90	372
392	90	371
393	91	371
394	91	371
395	91	371
396	91	371
397	92	371
398	92	370
399	92	370
400	92	370
401	93	370
402	93	369
403	93	369
404	93	369
405	94	369
406	94	369
407	94	369
408	94	369
409	95	369
410	95	369
411	95	369
412	96	368
413	96	368
414	96	368
415	96	368
416	97	368
417	97	368
418	97	368
419	97	367
420	98	367
421	98	367
422	98	367
423	98	367
424	99	367
425	99	367
426	99	367
427	100	368
428	100	367
429	100	367
430	101	367
431	101	367
432	101	367
433	101	367
434	102	367
435	102	367
436	102	367
437	102	366
438	103	366
439	103	366
440	103	366
441	103	366
442	104	365
443	104	365
444	104	365
445	104	365
446	105	365
447	105	365
448	105	364
449	105	364
450	106	364
451	106	364
452	106	363
453	106	363
454	107	363
455	107	363
456	107	363
457	107	362
458	107	362
459	108	362
460	108	361
461	108	361
462	108	361
463	109	361
464	109	361
465	109	361
466	110	361
467	110	361
468	110	361
469	110	361
470	111	361
471	111	360
472	111	360
473	111	360
474	112	359
475	112	359
476	112	359
477	112	358
478	112	358
479	113	358
480	113	358
481	113	357
482	113	357
483	129	406
484	130	406
485	130	406
486	130	406
487	131	405
488	131	405
489	131	405
490	131	405
491	132	404
492	132	404
493	132	404
494	132	403
495	133	403
496	133	403
497	133	402
498	133	402
499	134	402
500	134	401
501	134	401
502	135	402
503	135	401
504	135	401
505	135	400
506	135	400
507	136	400
508	136	400
509	136	399
510	137	399
511	137	400
512	138	400
513	138	400
514	138	399
515	138	399
516	139	399
517	139	398
518	139	398
519	139	398
520	140	397
521	140	397
522	140	397
523	140	396
524	141	396
525	141	395
526	141	395
527	141	395
528	141	394
529	142	394
530	142	394
531	142	393
532	142	393
533	143	393
534	143	392
535	143	392
536	143	391
537	144	391
538	144	391
539	144	390
540	144	390
541	144	389
542	145	389
543	145	389
544	145	388
545	145	388
546	145	387
547	146	387
548	146	387
549	146	386
550	146	386
551	147	385
552	147	385
553	147	385
554	147	384
555	148	384
556	148	384
557	148	384
558	148	383
559	149	383
560	149	382
561	149	383
562	149	382
563	150	382
564	150	382
565	150	381
566	150	381
567	151	381
568	151	380
569	151	380
570	151	379
571	152	379
572	152	379
573	152	378
574	152	378
575	152	378
576	153	377
577	153	377
578	153	376
579	153	376
580	154	376
581	154	376
582	154	375
583	154	375
584	155	375
585	155	374
586	155	374
587	155	374
588	156	373
589	156	373
590	156	373
591	156	372
592	156	372
593	157	372
594	157	371
595	157	371
596	157	371
597	158	370
598	158	370
599	158	370
600	158	369
601	159	369
602	159	369
603	159	369
604	159	368
605	160	368
606	160	368
607	160	367
608	160	367
609	161	367
610	161	366
611	161	366
612	161	366
613	162	366
614	162	365
615	162	365
616	162	365
617	163	364
618	163	364
619	163	364
620	163	363
621	164	363
622	164	363
623	164	362
624	164	362
625	165	362
626	165	362
627	165	361
628	165	361
629	166	361
630	166	360
631	166	360
632	166	360
633	166	359
634	167	359
635	167	359
636	167	358
637	167	358
638	168	358
639	168	357
640	168	357
641	168	357
642	169	356
643	169	356
644	169	356
645	169	355
646	170	355
647	170	355
648	170	354
649	170	354
650	170	354
651	171	353
652	171	353
653	171	353
654	171	353
655	172	352
656	172	352
657	172	352
658	172	351
659	173	351
660	173	351
661	173	350
662	173	350
663	174	350
664	174	349
665	174	349
666	174	349
667	174	348
668	175	348
669	175	348
670	175	348
671	175	347
672	176	347
673	176	347
674	176	346
675	176	346
676	177	346
677	177	345
678	177	345
679	177	345
680	178	344
681	178	344
682	178	344
683	178	343
684	178	343
685	179	343
686	179	342
687	179	342
688	179	342
689	180	341
690	180	341
691	180	341
692	180	340
693	181	340
694	181	340
695	181	340
696	181	339
697	182	339
698	182	339
699	182	339
700	182	338
701	183	338
702	183	338
703	183	337
704	183	337
705	184	337
706	184	337
707	184	336
708	184	336
709	185	336
710	185	335
711	185	335
712	185	335
713	186	335
714	186	334
715	186	334
716	186	334
717	186	333
718	187	333
719	187	333
720	187	333
721	187	332
722	188	332
723	188	332
724	188	331
725	188	331
726	189	331
727	189	331
728	189	330
729	189	330
730	190	330
731	190	329
732	190	329
733	190	329
734	191	328
735	191	328
736	191	328
737	191	328
738	192	327
739	192	327
740	192	327
741	192	326
742	193	326
743	193	326
744	193	326
745	193	325
746	194	325
747	194	325
748	194	325
749	194	324
750	195	324
751	195	324
752	195	324
753	196	323
754	196	323
755	196	323
756	196	323
757	197	322
758	197	322
759	197	322
760	197	322
761	198	321
762	198	321
763	198	321
764	199	321
765	199	320
766	199	320
767	199	320
768	199	320
769	200	319
770	200	319
771	200	319
772	200	318
773	201	318
774	201	318
775	201	318
776	202	318
777	202	317
778	202	317
779	202	317
780	203	316
781	203	316
782	203	316
783	203	315
784	203	315
785	204	315
786	204	315
787	204	314
788	204	314
789	205	314
790	205	313
791	205	313
792	205	313
793	206	313
794	206	312
795	206	312
796	206	312
797	207	311
798	207	311
799	207	311
800	207	311
801	208	310
802	208	310
803	208	310
804	208	310
805	209	310
806	209	309
807	209	309
808	209	309
809	210	308
810	210	308
811	210	308
812	210	308
813	211	307
814	211	307
815	211	307
816	211	306
817	212	306
818	212	306
819	212	306
820	213	306
821	213	305
822	213	305
823	213	305
824	214	305
825	214	304
826	214	304
827	214	304
828	215	303
829	215	303
830	215	303
831	215	302
832	216	302
833	216	302
834	216	302
835	216	301
836	217	301
837	217	301
838	217	300
839	217	300
840	218	300
841	218	300
842	218	299
843	218	299
844	218	299
845	219	298
846	219	298
847	219	298
848	219	297
849	219	297
850	220	297
851	220	296
852	220	296
853	220	296
854	220	295
855	221	295
856	221	294
857	221	294
858	221	294
859	221	293
860	221	293
861	221	292
862	222	292
863	222	292
864	222	291
865	222	291
866	222	291
867	222	290
868	223	290
869	223	289
870	223	289
871	223	289
872	223	288
873	223	288
874	224	288
875	224	287
