date,price_per_sqm
1900-01-01,622.14
1901-01-01,625.18
1902-01-01,628.63
1903-01-01,632.53
1904-01-01,635.58
1905-01-01,638.64
1906-01-01,642.61
1907-01-01,646.21
1908-01-01,649.2
1909-01-01,652.72
1910-01-01,655.75
1911-01-01,658.8
1912-01-01,662.21
1913-01-01,664.58
1914-01-01,656.22
1915-01-01,649.11
1916-01-01,641.61
1917-01-01,635.51
1918-01-01,628.25
1919-01-01,630.73
1920-01-01,634.57
1921-01-01,637.64
1922-01-01,640.86
1923-01-01,643.39
1924-01-01,646.35
1925-01-01,649.64
1926-01-01,652.35
1927-01-01,655.78
1928-01-01,658.78
1929-01-01,661.94
1930-01-01,664.96
1931-01-01,669.16
1932-01-01,672.5
1933-01-01,675.36
1934-01-01,679.13
1935-01-01,681.95
1936-01-01,685.46
1937-01-01,687.96
1938-01-01,690.78
1939-01-01,677.55
1940-01-01,666.19
1941-01-01,653.38
1942-01-01,639.96
1943-01-01,626.27
1944-01-01,609.35
1945-01-01,595.03
1946-01-01,602.81
1947-01-01,614.47
1948-01-01,624.54
1949-01-01,629.54
1950-01-01,639.79
1951-01-01,648.43
1952-01-01,656.48
1953-01-01,667.85
1954-01-01,680.42
1955-01-01,692.93
1956-01-01,701.24
1957-01-01,711.0
1958-01-01,722.48
1959-01-01,735.73
1960-01-01,745.58
1961-01-01,756.31
1962-01-01,764.91
1963-01-01,773.43
1964-01-01,787.04
1965-01-01,802.2
1966-01-01,814.06
1967-01-01,828.75
1968-01-01,842.08
1969-01-01,853.11
1970-01-01,866.8
1971-01-01,883.61
1972-01-01,896.78
1973-01-01,914.1
1974-01-01,921.33
1975-01-01,937.18
1976-01-01,951.46
1977-01-01,964.99
1978-01-01,979.69
1979-01-01,989.47
1980-01-01,1003.76
1981-01-01,1019.71
1982-01-01,1038.66
1983-01-01,1052.96
1984-01-01,1066.75
1985-01-01,1081.51
1986-01-01,1100.0
1987-01-01,1117.31
1988-01-01,1132.76
1989-01-01,1151.02
1990-01-01,1222.5
1991-01-01,1250.93
1992-01-01,1249.36
1993-01-01,1246.37
1994-01-01,1168.18
1995-01-01,1186.2
