date,price_per_sqm
01.01.1900,622.14
01.01.1901,625.18
01.01.1902,628.63
01.01.1903,632.53
01.01.1904,635.58
01.01.1905,638.64
01.01.1906,642.61
01.01.1907,646.21
01.01.1908,649.2
01.01.1909,652.72
01.01.1910,655.75
01.01.1911,658.8
01.01.1912,662.21
01.01.1913,664.58
01.01.1914,656.22
01.01.1915,649.11
01.01.1916,641.61
01.01.1917,635.51
01.01.1918,628.25
01.01.1919,630.73
01.01.1920,634.57
01.01.1921,637.64
01.01.1922,640.86
01.01.1923,643.39
01.01.1924,646.35
01.01.1925,649.64
01.01.1926,652.35
01.01.1927,655.78
01.01.1928,658.78
01.01.1929,661.94
01.01.1930,664.96
01.01.1931,669.16
01.01.1932,672.5
01.01.1933,675.36
01.01.1934,679.13
01.01.1935,681.95
01.01.1936,685.46
01.01.1937,687.96
01.01.1938,690.78
01.01.1939,677.55
01.01.1940,666.19
01.01.1941,653.38
01.01.1942,639.96
01.01.1943,626.27
01.01.1944,609.35
01.01.1945,595.03
01.01.1946,602.81
01.01.1947,614.47
01.01.1948,624.54
01.01.1949,629.54
01.01.1950,639.79
01.01.1951,648.43
01.01.1952,656.48
01.01.1953,667.85
01.01.1954,680.42
01.01.1955,692.93
01.01.1956,701.24
01.01.1957,711
01.01.1958,722.48
01.01.1959,735.73
01.01.1960,745.58
01.01.1961,756.31
01.01.1962,764.91
01.01.1963,773.43
01.01.1964,787.04
01.01.1965,802.2
01.01.1966,814.06
01.01.1967,828.75
01.01.1968,842.08
01.01.1969,853.11
01.01.1970,866.8
01.01.1971,883.61
01.01.1972,896.78
01.01.1973,914.1
01.01.1974,921.33
01.01.1975,937.18
01.01.1976,951.46
01.01.1977,964.99
01.01.1978,979.69
01.01.1979,989.47
01.01.1980,1003.76
01.01.1981,1019.71
01.01.1982,1038.66
01.01.1983,1052.96
01.01.1984,1066.75
01.01.1985,1081.51
01.01.1986,1100
01.01.1987,1117.31
01.01.1988,1132.76
01.01.1989,1151.02
01.01.1990,1222.5
01.01.1991,1250.93
01.01.1992,1249.36
01.01.1993,1246.37
01.01.1994,1168.18
01.01.1995,1186.2
01.01.1996,1205.86
01.01.1997,1207.49
01.01.1998,1185
01.01.1999,1260.16
01.01.2000,1446.36
01.01.2001,1571.33
01.01.2002,1753.38
01.01.2003,1962.08
01.01.2004,2175.16
01.01.2005,2412.32
01.01.2006,2679.44
01.01.2007,2979.63
01.01.2008,2623.23
01.01.2009,2334.82
01.01.2010,2044.93
01.01.2011,2118.08
01.07.2012,3258.58
01.08.2012,3240.75
01.09.2012,3240.75
01.10.2012,3289.78
01.11.2012,3231.83
01.12.2012,3160.51
01.01.2013,3106.49
01.02.2013,3146.26
01.03.2013,3141.84
01.04.2013,3261.15
01.05.2013,3243.47
01.06.2013,3221.38
01.07.2013,3172.77
01.08.2013,3190.45
01.09.2013,3203.7
01.10.2013,3181.61
01.11.2013,3146.26
01.12.2013,3137.42
01.01.2014,3164.2
01.02.2014,3164.2
01.03.2014,3173.09
01.04.2014,3173.09
01.05.2014,3173.09
01.06.2014,3221.97
01.07.2014,3190.86
01.08.2014,3208.64
01.09.2014,3221.97
01.10.2014,3199.75
01.11.2014,3199.75
01.12.2014,3213.08
01.01.2015,3245.36
01.02.2015,3254.25
01.03.2015,3232.02
01.04.2015,3240.92
01.05.2015,3227.58
01.06.2015,3272.04
01.07.2015,3298.71
01.08.2015,3303.16
01.09.2015,3360.95
01.10.2015,3369.84
01.11.2015,3400.96
01.12.2015,3454.31
01.01.2016,3497.63
01.02.2016,3506.61
01.03.2016,3591.92
01.04.2016,3731.11
01.05.2016,3704.17
01.06.2016,3784.99
01.07.2016,3798.46
01.08.2016,3771.52
01.09.2016,3834.37
01.10.2016,3798.46
01.11.2016,3798.46
01.12.2016,3847.84
01.01.2017,4057.89
01.02.2017,4126.44
01.03.2017,4231.54
01.04.2017,4295.52
01.05.2017,4409.76
01.06.2017,4528.57
01.07.2017,4569.7
