An,price_per_sqm
1900,622.14
1901,625.18
1902,628.63
1903,632.53
1904,635.58
1905,638.64
1906,642.61
1907,646.21
1908,649.2
1909,652.72
1910,655.75
1911,658.8
1912,662.21
1913,664.58
1914,656.22
1915,649.11
1916,641.61
1917,635.51
1918,628.25
1919,630.73
1920,634.57
1921,637.64
1922,640.86
1923,643.39
1924,646.35
1925,649.64
1926,652.35
1927,655.78
1928,658.78
1929,661.94
1930,664.96
1931,669.16
1932,672.5
1933,675.36
1934,679.13
1935,681.95
1936,685.46
1937,687.96
1938,690.78
1939,677.55
1940,666.19
1941,653.38
1942,639.96
1943,626.27
1944,609.35
1945,595.03
1946,602.81
1947,614.47
1948,624.54
1949,629.54
1950,639.79
1951,648.43
1952,656.48
1953,667.85
1954,680.42
1955,692.93
1956,701.24
1957,711.0
1958,722.48
1959,735.73
1960,745.58
1961,756.31
1962,764.91
1963,773.43
1964,787.04
1965,802.2
1966,814.06
1967,828.75
1968,842.08
1969,853.11
1970,866.8
1971,883.61
1972,896.78
1973,914.1
1974,921.33
1975,937.18
1976,951.46
1977,964.99
1978,979.69
1979,989.47
1980,1003.76
1981,1019.71
1982,1038.66
1983,1052.96
1984,1066.75
1985,1081.51
1986,1100.0
1987,1117.31
1988,1132.76
1989,1151.02
1990,1222.5
1991,1250.93
1992,1249.36
1993,1246.37
1994,1168.18
1995,1186.2
1996,1205.86
1997,1207.49
1998,1185.0
1999,1260.16
2000,1446.36
2001,1571.33
2002,1753.38
2003,1962.08
2004,2175.16
2005,2412.32
2006,2679.44
2007,2979.63
2008,2623.23
2009,2334.82
2010,2044.93
2011,2118.08
2012,3237.03
2013,3179.4
2014,3191.97
2015,3305.01
2016,3722.13
2017,4474.12
2018,5075.79
2019,5208.78
2020,5692.44
2021,6397.56
2022,7171.29
2023,7350.96
2024,8344.82
2025,10017.45
