An,index_cost_mat,urban_incr_proc,rata_infl,pib_dolj_mld_ron,price_per_sqm
1900,25.0,0.004,3.0,0.408,622.14
1901,25.175,0.004,3.06,0.423,625.18
1902,25.352,0.004,3.13,0.439,628.63
1903,25.53,0.0041,3.19,0.456,632.53
1904,25.709,0.0041,3.26,0.472,635.58
1905,25.889,0.0042,3.32,0.49,638.64
1906,26.071,0.0042,3.39,0.508,642.61
1907,26.254,0.0042,3.46,0.527,646.21
1908,26.438,0.0043,3.54,0.547,649.2
1909,26.624,0.0043,3.61,0.567,652.72
1910,26.81,0.0044,3.68,0.588,655.75
1911,26.999,0.0044,3.76,0.61,658.8
1912,27.188,0.0045,3.84,0.633,662.21
1913,27.379,0.0045,3.92,0.656,664.58
1914,27.571,0.0045,4.0,0.68,656.22
1915,27.764,0.0046,5.98,0.644,649.11
1916,27.959,0.0046,8.94,0.609,641.61
1917,28.155,0.0047,13.37,0.576,635.51
1918,28.353,0.0047,20.0,0.544,628.25
1919,28.552,0.0048,18.33,0.564,630.73
1920,28.752,0.0048,16.8,0.583,634.57
1921,28.954,0.0049,15.4,0.604,637.64
1922,29.157,0.0049,14.11,0.625,640.86
1923,29.362,0.005,12.94,0.647,643.39
1924,29.568,0.005,11.86,0.67,646.35
1925,29.775,0.0051,10.87,0.694,649.64
1926,29.984,0.0051,9.96,0.718,652.35
1927,30.194,0.0052,9.13,0.744,655.78
1928,30.406,0.0052,8.37,0.77,658.78
1929,30.619,0.0053,7.67,0.797,661.94
1930,30.834,0.0053,7.03,0.825,664.96
1931,31.051,0.0054,6.44,0.854,669.16
1932,31.268,0.0054,5.9,0.884,672.5
1933,31.488,0.0055,5.41,0.916,675.36
1934,31.709,0.0055,4.96,0.948,679.13
1935,31.931,0.0056,4.55,0.981,681.95
1936,32.155,0.0056,4.17,1.016,685.46
1937,32.381,0.0057,3.82,1.052,687.96
1938,32.608,0.0058,3.5,1.089,690.78
1939,32.837,0.0058,4.64,1.045,677.55
1940,33.067,0.0059,6.14,1.003,666.19
1941,33.299,0.0059,8.13,0.963,653.38
1942,33.533,0.006,10.76,0.924,639.96
