An,rata_infl
1900,3.0
1901,3.06
1902,3.13
1903,3.19
1904,3.26
1905,3.32
1906,3.39
1907,3.46
1908,3.54
1909,3.61
1910,3.68
1911,3.76
1912,3.84
1913,3.92
1914,4.0
1915,5.98
1916,8.94
1917,13.37
1918,20.0
1919,18.33
1920,16.8
1921,15.4
1922,14.11
1923,12.94
1924,11.86
1925,10.87
1926,9.96
1927,9.13
1928,8.37
1929,7.67
1930,7.03
1931,6.44
1932,5.9
1933,5.41
1934,4.96
1935,4.55
1936,4.17
1937,3.82
1938,3.5
1939,4.64
1940,6.14
1941,8.13
1942,10.76
1943,14.26
1944,18.88
1945,25.0
1946,15.77
1947,9.95
1948,6.28
1949,3.96
1950,2.5
1951,2.52
1952,2.55
1953,2.57
1954,2.59
1955,2.62
1956,2.64
1957,2.66
1958,2.69
1959,2.71
1960,2.74
1961,2.76
1962,2.79
1963,2.81
1964,2.84
1965,2.87
1966,2.89
1967,2.92
1968,2.95
1969,2.97
1970,3.0
1971,0.6
1972,0.0
1973,0.7
1974,1.1
1975,0.2
1976,0.6
1977,0.6
1978,1.6
1979,2.0
1980,2.1
1981,3.1
1982,17.8
1983,4.1
1984,1.1
1985,0.8
1986,1.0
1987,0.9
1988,2.2
1989,1.1
1990,5.1
1991,170.2
1992,210.4
1993,256.1
1994,136.7
1995,32.3
1996,38.8
1997,154.8
1998,59.1
1999,45.8
2000,45.7
2001,34.5
2002,22.5
2003,15.3
2004,11.9
2005,9.0
2006,6.6
2007,4.8
2008,7.9
2009,5.6
2010,6.1
2011,5.8
2012,3.3
2013,4.0
2014,1.1
2015,-0.6
2016,-1.5
2017,1.3
2018,4.6
2019,3.8
2020,2.6
2021,5.1
2022,13.8
2023,10.4
2024,5.6
2025,9.93
