Timp,indice_to_2021
 Luna ianuarie 2005,50.6
 Luna februarie 2005,49.8
 Luna martie 2005,49.7
 Luna aprilie 2005,54.8
 Luna mai 2005,51.6
 Luna iunie 2005,50.6
 Luna iulie 2005,53
 Luna august 2005,55
 Luna septembrie 2005,52
 Luna octombrie 2005,52.4
 Luna noiembrie 2005,53.7
 Luna decembrie 2005,51.9
 Luna ianuarie 2006,53.8
 Luna februarie 2006,52.5
 Luna martie 2006,52.5
 Luna aprilie 2006,58.6
 Luna mai 2006,59.3
 Luna iunie 2006,59.4
 Luna iulie 2006,59.1
 Luna august 2006,61
 Luna septembrie 2006,52
 Luna octombrie 2006,59
 Luna noiembrie 2006,58.7
 Luna decembrie 2006,59.4
 Luna ianuarie 2007,60.1
 Luna februarie 2007,58.6
 Luna martie 2007,58.8
 Luna aprilie 2007,58.6
 Luna mai 2007,60.7
 Luna iunie 2007,60.1
 Luna iulie 2007,58.8
 Luna august 2007,59.3
 Luna septembrie 2007,58.7
 Luna octombrie 2007,59.2
 Luna noiembrie 2007,59.3
 Luna decembrie 2007,59.5
 Luna ianuarie 2008,62.9
 Luna februarie 2008,63
 Luna martie 2008,66
 Luna aprilie 2008,68.4
 Luna mai 2008,71
 Luna iunie 2008,72.9
 Luna iulie 2008,74.9
 Luna august 2008,74.9
 Luna septembrie 2008,72.1
 Luna octombrie 2008,69.5
 Luna noiembrie 2008,64.8
 Luna decembrie 2008,62.6
 Luna ianuarie 2009,71.5
 Luna februarie 2009,70.8
 Luna martie 2009,72.1
 Luna aprilie 2009,70.3
 Luna mai 2009,70
 Luna iunie 2009,71.6
 Luna iulie 2009,71.1
 Luna august 2009,72.8
 Luna septembrie 2009,76.6
 Luna octombrie 2009,79
 Luna noiembrie 2009,72.7
 Luna decembrie 2009,70.9
 Luna ianuarie 2010,69.5
 Luna februarie 2010,71.2
 Luna martie 2010,72.6
 Luna aprilie 2010,74.6
 Luna mai 2010,77.7
 Luna iunie 2010,76.3
 Luna iulie 2010,76.8
 Luna august 2010,73.6
 Luna septembrie 2010,72.3
 Luna octombrie 2010,73.8
 Luna noiembrie 2010,74.6
 Luna decembrie 2010,75.4
 Luna ianuarie 2011,79.1
 Luna februarie 2011,81.3
 Luna martie 2011,80.8
 Luna aprilie 2011,83
 Luna mai 2011,83.1
 Luna iunie 2011,84.5
 Luna iulie 2011,86.8
 Luna august 2011,84.9
 Luna septembrie 2011,86.7
 Luna octombrie 2011,90.1
 Luna noiembrie 2011,88.1
 Luna decembrie 2011,87.3
 Luna ianuarie 2012,87.3
 Luna februarie 2012,87.9
 Luna martie 2012,88
 Luna aprilie 2012,93.4
 Luna mai 2012,98.9
 Luna iunie 2012,95.6
 Luna iulie 2012,94.6
 Luna august 2012,93.6
 Luna septembrie 2012,96.8
 Luna octombrie 2012,96.8
 Luna noiembrie 2012,96.6
 Luna decembrie 2012,89.3
 Luna ianuarie 2013,85.6
 Luna februarie 2013,84.8
 Luna martie 2013,84.3
 Luna aprilie 2013,85
 Luna mai 2013,83.3
 Luna iunie 2013,84.1
 Luna iulie 2013,83.6
 Luna august 2013,83.9
 Luna septembrie 2013,83.8
 Luna octombrie 2013,83.4
 Luna noiembrie 2013,83.2
 Luna decembrie 2013,81.8
 Luna ianuarie 2014,82.9
 Luna februarie 2014,82.5
 Luna martie 2014,82.1
 Luna aprilie 2014,81.7
 Luna mai 2014,81.3
 Luna iunie 2014,81.8
 Luna iulie 2014,81.8
 Luna august 2014,81.5
 Luna septembrie 2014,82
 Luna octombrie 2014,80.7
