An,price_pred
2026,5553.230596259999
2027,5547.248378628959
2028,5245.06471643509
2029,5245.053182395242
2030,5245.053182395242
2031,5245.053182395242
2032,5245.053182395242
2033,5245.053182395242
2034,5245.053182395242
2035,5245.053182395242
2036,5245.053182395242
2037,5245.053182395242
2038,5245.053182395242
2039,5245.053182395242
2040,5245.053182395242
2041,5245.053182395242
2042,5245.053182395242
2043,5245.053182395242
2044,5245.053182395242
2045,5245.053182395242
2046,5245.053182395242
2047,5245.053182395242
2048,5245.053182395242
2049,5245.053182395242
2050,5245.053182395242
