date,predicted_price,lower_ci,upper_ci
2025-11-01,10511.8868567184,10468.66558669113,10555.10812674567
2025-12-01,10583.157145696036,10514.339861776567,10651.974429615504
2026-01-01,10684.700454204025,10590.042748148971,10779.358160259078
2026-02-01,10773.34894798764,10651.697945284619,10894.999950690662
2026-03-01,10870.95811366396,10720.918644659578,11020.997582668344
2026-04-01,10951.992394836205,10772.110313186367,11131.874476486042
2026-05-01,11024.176547003588,10813.001232278555,11235.35186172862
2026-06-01,11136.709471046232,10892.816568813887,11380.602373278576
2026-07-01,11197.200739658032,10919.199707333566,11475.201771982498
2026-08-01,11271.468364250899,10958.004135791502,11584.932592710296
2026-09-01,11379.800506158137,11029.563815599275,11730.037196717
2026-10-01,11453.89092289254,11066.200084089109,11841.581761695972
2026-11-01,11536.707779577224,11109.214635114391,11964.200924040057
2026-12-01,11607.97806855486,11139.97726353438,12075.97887357534
2027-01-01,11709.521377062849,11199.826455009348,12219.21629911635
2027-02-01,11798.169870846465,11245.635535538997,12350.704206153932
2027-03-01,11895.779036522785,11299.2911572358,12492.266915809769
2027-04-01,11976.813317695029,11335.286678945009,12618.339956445048
2027-05-01,12048.997469862412,11361.37289682047,12736.622042904353
2027-06-01,12161.530393905055,11426.77162684576,12896.28916096435
2027-07-01,12222.021662516856,11439.112345597034,13004.930979436678
2027-08-01,12296.289287109723,11464.23050926816,13128.348064951286
2027-09-01,12404.621429016961,11522.438022335878,13286.804835698043
2027-10-01,12478.711845751364,11545.893204261347,13411.530487241382
2027-11-01,12561.528702436048,11576.306897423381,13546.750507448714
2027-12-01,12632.798991413683,11594.61304671743,13670.984936109937
2028-01-01,12734.342299921673,11642.270336014788,13826.414263828558
2028-02-01,12822.990793705289,11676.134260976367,13969.84732643421
2028-03-01,12920.599959381609,11718.077074381368,14123.122844381849
2028-04-01,13001.634240553853,11742.579076833654,14260.689404274051
2028-05-01,13073.818392721236,11757.37934487591,14390.257440566562
2028-06-01,13186.35131676388,11811.68922071187,14561.013412815888
2028-07-01,13246.84258537568,11813.12879984936,14680.556370901999
2028-08-01,13321.110209968547,11827.525041996454,14814.69537794064
2028-09-01,13429.442351875785,11875.18069283048,14983.70401092109
2028-10-01,13503.532768610188,11888.173976057591,15118.891561162785
2028-11-01,13586.349625294872,11908.420049260712,15264.279201329031
2028-12-01,13657.619914272507,11916.644193655051,15398.595634889964
2029-01-01,13759.163222780497,11954.363622246725,15563.962823314268
2029-02-01,13847.811716564112,11978.42656476019,15717.196868368035
2029-03-01,13945.420882240433,12010.699436368579,15880.142328112286
2029-04-01,14026.455163412676,12025.657140395166,16027.253186430187
2029-05-01,14098.63931558006,12031.033843617404,16166.244787542715
2029-06-01,14211.172239622703,12076.036464119787,16346.30801512562
2029-07-01,14271.663508234504,12068.281115353773,16475.045901115234
2029-08-01,14345.93113282737,12073.591129757619,16618.27113589712
2029-09-01,14454.263274734609,12112.265046917944,16796.26150255127
2029-10-01,14528.353691469012,12116.331893638915,16940.37548929911
2029-11-01,14611.170548153696,12127.835674610804,17094.505421696587
2029-12-01,14682.440837131331,12127.373577750088,17237.508096512574
2030-01-01,14783.98414563932,12156.499622527585,17411.46866875106
2030-02-01,14872.632639422936,12172.058303568081,17573.206975277793
2030-03-01,14970.241805099256,12195.913079613372,17744.57053058514
2030-04-01,15051.2760862715,12202.53607821442,17900.01609432858
2030-05-01,15123.460238438884,12199.658919801885,18047.261557075883
2030-06-01,15235.993162481527,12236.486222212872,18235.500102750182
2030-07-01,15296.484431093328,12220.632031467494,18372.336830719163
2030-08-01,15370.752055686195,12217.91779887916,18523.58631249323
2030-09-01,15479.084197593433,12248.63972656531,18709.528668621555
2030-10-01,15553.174614327836,12244.79272495635,18861.55650369932
2030-11-01,15635.99147101252,12248.511576524126,19023.47136550091
2030-12-01,15707.261759990155,12240.304663236475,19174.218856743835
2031-01-01,15808.805068498144,12261.751943425968,19355.858193570322
2031-02-01,15897.45356228176,12269.695668739238,19525.211455824283
2031-03-01,15995.06272795808,12285.997557974333,19704.127897941828
2031-04-01,16076.097009130324,12285.12808898713,19867.065929273518
2031-05-01,16148.281161297708,12274.817363786386,20021.744958809028
2031-06-01,16260.814085340351,12304.268631614006,20217.359539066696
2031-07-01,16321.305353952152,12281.094716088319,20361.515991815984
2031-08-01,16395.572978545017,12271.11596307749,20520.029994012544
2031-09-01,16503.905120452255,12294.627108358509,20713.183132546
2031-10-01,16577.995537186656,12283.59761882413,20872.393455549183
2031-11-01,16660.81239387134,12280.230672139067,21041.394115603613
2031-12-01,16732.082682848977,12264.968443599668,21199.196922098286
2032-01-01,16833.625991356967,12279.410450653726,21387.841532060207
2032-02-01,16922.27448514058,12280.39745615222,21564.151514128942
2032-03-01,17019.883650816904,12289.790049002446,21749.97725263136
2032-04-01,17100.91793198915,12282.057628630184,21919.778235348113
2032-05-01,17173.10208415653,12264.929303843033,22081.274864470026
2032-06-01,17285.635008199173,12287.607433015237,22283.66258338311
2032-07-01,17346.126276810974,12257.704051233843,22434.548502388105
2032-08-01,17420.39390140384,12241.038797860607,22599.749004947073
2032-09-01,17528.72604331108,12257.905410656824,22799.546675965335
2032-10-01,17602.81646004548,12240.253439103784,22965.379480987176
2032-11-01,17685.633316730164,12230.339980510016,23140.92665295031
2032-12-01,17756.9036057078,12208.555402710808,23305.251808704794
2033-01-01,17858.44691421579,12216.514655591458,23500.379172840123
2033-02-01,17947.095407999404,12211.057443326801,23683.133372672008
2033-03-01,18044.704573675728,12214.043568978836,23875.36557837262
2033-04-01,18125.738854847972,12199.941678322693,24051.536031373253
2033-05-01,18197.923007015354,12176.480186758712,24219.365827271995
2033-06-01,18310.455931057997,12192.860834631021,24428.051027484973
2033-07-01,18370.947199669798,12156.695115869199,24585.199283470396
2033-08-01,18445.214824262664,12133.802190486103,24756.627458039227
2033-09-01,18553.546966169903,12144.475076233866,24962.61885610594
2033-10-01,18627.637382904304,12120.647181794091,25134.627584014517
2033-11-01,18710.454239588988,12104.619526225306,25316.28895295267
2033-12-01,18781.724528566625,12076.74050839647,25486.70854873678
2034-01-01,18883.267837074614,12078.637658609992,25687.898015539235
2034-02-01,18971.91633085823,12067.149889600045,25876.68277211641
2034-03-01,19069.525496534552,12064.13642961574,26074.914563453363
2034-04-01,19150.559777706796,12044.065371180583,26257.05418423301
2034-05-01,19222.743929874177,12014.664621647957,26430.823238100398
2034-06-01,19335.27685391682,12025.135471808942,26645.4182360247
2034-07-01,19395.76812252862,11983.08902664536,26808.447218411882
2034-08-01,19470.03574712149,11954.344106131763,26985.727388111212
2034-09-01,19578.367889028726,11959.193185441884,27197.54259261557
2034-10-01,19652.458305763128,11929.556248442077,27375.36036308418
2034-11-01,19735.27516244781,11907.77098912339,27562.779335772233
2034-12-01,19806.54545142545,11874.150910806973,27738.939992043925
2035-01-01,19908.08875993344,11870.334055421856,27945.84346444502
2035-02-01,19996.737253717052,11853.15872120768,28140.315786226427
2035-03-01,20094.346419393376,11844.483699445711,28344.20913934104
2035-04-01,20175.38070056562,11818.776660901705,28531.984740229535
2035-05-01,20247.564852733,11783.76512660498,28711.364578861023
2035-06-01,20360.097776775645,11788.65004815632,28931.54550539497
2035-07-01,20420.589045387445,11741.042240816403,29100.13584995849
2035-08-01,20494.856669980312,11706.760274914832,29282.953065045793
2035-09-01,20603.18881188755,11706.096202711213,29500.28142106389
2035-10-01,20677.279228621952,11670.95861380494,29683.599843438962
