date,predicted_price,lower_ci,upper_ci
2025,10547.522001207217,10491.502724233847,10603.541278180586
2026,11157.411025819447,10888.562257819516,11426.259793819374
2027,12182.23194867827,11417.56486466655,12946.899032689988
2028,13207.052871537095,11798.100172286968,14616.005570787218
2029,14231.873794395919,12058.491292461416,16405.25629633042
2030,15256.694717254742,12215.329228963928,18298.060205545557
2031,16281.515640113563,12279.77448138452,20283.256798842605
2032,17306.33656297239,12259.999116947727,22352.674008997044
2033,18331.157485831212,12162.323163884546,24499.991807777875
2034,19355.978408690036,11991.824492421225,26720.132324958842
2035,20297.812951899537,11778.402564398562,28817.223339400516
